Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
16/10/2021,, AVENIDA URUGUAY, DESPISTE, SIN LESIONADOS, SÁBADO, 5, MONTEVIDEO, MONTEVIDEO, 1, 574825, 6137645 
22/9/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 16, PAYSANDU, SIN DATOS, 1, 405165, 6412680 
28/9/2021,, VIA_PUBLICA, DESPISTE, LEVE, MARTES, 6, FLORIDA, SIN DATOS, 1, 559745, 6215025 
4/10/2021,, PARALELA A RUTA TREINTA Y NUEVE, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 12, MALDONADO, CANTERAS DE MARELLI, 1, 688165, 6142195 
17/7/2021,, AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 15, RIVERA, RIVERA, 1, 639460, 6580635 
16/9/2021,, PERU, CAÍDA, LEVE, JUEVES, 22, SAN JOSE, SAN JOSE DE MAYO, 1, 527605, 6201515 
3/9/2021,, FRAU VOGEL, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, COLONIA, NUEVA HELVECIA, 1, 478610, 6205720 
6/10/2021,, AVENIDA GENERAL SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, PAYSANDU, PAYSANDU, 1, 398490, 6422320 
13/10/2021,, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 18, COLONIA, COLONIA DEL SACRAMENTO, 1, 422500, 6185360 
14/11/2021,, FRANCISCO ACUÑA DE FIGUEROA, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 21, FLORIDA, FRAY MARCOS, 1, 615955, 6215605 
13/10/2021,, CORACEROS, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 19, MONTEVIDEO, MONTEVIDEO, 1, 572110, 6141030 
10/12/2021,, ALBA ROBALLO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 15, ARTIGAS, ARTIGAS, 1, 549165, 6634580 
9/12/2021,, CAMINO FRADE FRENTE A CANCLHA ATENAS, CAÍDA, GRAVE, JUEVES, 12, MALDONADO, SIN DATOS, 1, 691945, 6148190 
31/12/2021,, RICARDO PALMA, DESPISTE, LEVE, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 579630, 6142775 
25/12/2021,, DOCTOR QUINTELA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 1, CANELONES, FRACC. SOBRE RUTA 74, 1, 586845, 6158200 
22/12/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 553140, 6153675 
