Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
10/8/2022,, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, TACUAREMBO, TACUAREMBO, 1, 596300, 6490290 
23/9/2022,, EMILIO RAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 577335, 6140510 
4/7/2022,, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, CERRO LARGO, MELO, 1, 766410, 6415070 
19/12/2022,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, ATROPELLO DE PEATÓN, LEVE, LUNES, 6, MONTEVIDEO, MONTEVIDEO, 1, 577445, 6139710 
30/7/2022,, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, MONTEVIDEO, MONTEVIDEO, 1, 579905, 6138050 
27/11/2022,, J. DELGADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 23, SALTO, SALTO, 1, 407695, 6527115 
22/12/2022,, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578540, 6145635 
8/7/2022,, GUAVIYU, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 575190, 6140380 
14/10/2022,, CAMINO DOMINGO ARENA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 576170, 6146550 
5/7/2022,, CAMINO TOMKINSON, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 7, MONTEVIDEO, SIN DATOS, 1, 564885, 6143150 
18/7/2022,, RAMBLA DE LOS ARGENTINOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MALDONADO, PIRIAPOLIS, 1, 657630, 6140155 
27/9/2022,, JOSE ELLAURI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, LAVALLEJA, MINAS, 1, 662280, 6195155 
29/9/2022,, AVENIDA JOSE PEDRO VARELA, ATROPELLO DE PEATÓN, GRAVE, JUEVES, 19, MONTEVIDEO, MONTEVIDEO, 1, 577630, 6141820 
6/10/2022,, JOSE PEDRO VARELA, CAÍDA, LEVE, JUEVES, 17, COLONIA, COLONIA VALDENSE, 1, 475445, 6200475 
12/9/2022,, SIRIPO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, CANELONES, SALINAS, 1, 606460, 6152460 
30/10/2022,, A CERRO LARGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, FLORIDA, NICO PEREZ, 1, 671565, 6294155 
26/11/2022,, LUSSICH, CAÍDA, LEVE, SÁBADO, 17, MALDONADO, SIN DATOS, 1, 679360, 6138060 
15/12/2022,, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 19, SALTO, SALTO, 1, 408215, 6526135 
4/7/2022,, BRASIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 18, COLONIA, COLONIA DEL SACRAMENTO, 1, 422665, 6186670 
30/9/2022,, GALICIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 573930, 6137725 
15/10/2022,, ALFREDO PUIG, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 14, FLORES, TRINIDAD, 1, 509600, 6290790 
7/8/2022,, GENERAL JOSE G. ARTIGAS, CAÍDA, LEVE, DOMINGO, 0, TREINTA Y TRES, VERGARA, 1, 786140, 6351525 
11/8/2022,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 23, PAYSANDU, PAYSANDU, 1, 398405, 6425145 
